merchant_id,merchant_name,merchant_city,merchant_state,merchant_postal,merchant_country
9e2fa388-6eb2-4c92-ac5f-8eaaac9e562c,Fry's Food and Drug,,,,
a1859719-bc9a-47dd-8632-5cdb34844bcd,Cinnabon,,,,
a22a954d-ca10-44e0-82d9-e007a0611369,Amazon,,,,
a6ebb452-1fb7-45a5-a29f-21007c26fcbc,Uber,,,,
a7093c1a-88a9-48ad-8b97-90a2f1ad5385,Discord,,,,
a7195b2a-196b-4b52-86e5-0102029d6dc2,LinkedIn,,,,
a971af14-f021-4080-b511-ad47b5b2f0dc,McDonald's,,,,
ab705d99-bb1a-4a3c-8c35-5d8137a8263e,adidas,,,,
abb94fe7-7084-4ace-a00d-53f446223806,Taco Bell,,,,
af07a9f0-ed11-4643-ac0d-cb508f0b8ad5,DoorDash,,,,
af335e15-e401-4327-af9d-85471b17c941,Nike,,,,
af39c417-7703-49e2-8f65-65844f01ceb0,United,,,,
af527200-51e2-49d5-826e-5e1be393da90,Calm,,,,
b001914d-bf46-43f7-8daf-8190fd5e6e43,Five Guys,,,,
b44e177a-7699-4b7b-9e48-0aa438f3edef,Walmart,,,,
b575cdc0-5dd8-4549-86a1-c52d8bc593df,AMC Theatres,,,,
b7ddd685-f62d-4daa-91e9-748d2c4f0595,Mission BBQ,,,,
b823b323-cde1-4edc-8c84-f7d7520aed5e,Staples,,,,
b8ebe955-2f56-410a-9608-0b14e70bbe56,DICK'S Sporting Goods,,,,
b9268df3-3cb2-4361-8629-433889870aa5,Airbnb,,,,
bba286fa-4310-48de-86a5-463ccf3d639e,Chuck E. Cheese's,,,,
bde9c3dd-2da4-4d54-b089-f19c7cc32cf9,Designer Shoe Warehouse,,,,
c82b44e2-e870-4e86-bde3-1782b8d4e8cd,Hulu,,,,
df778d6b-989c-4e8d-8904-c6cd7707d8c1,Macy's,,,,
dfd5e19a-546d-4662-aebc-e5b87b0c6a18,Dairy Queen,,,,
e3b217ae-f1ed-4cb6-b056-295abddc7e8d,CVS,,,,
e6c9457e-531b-4a1b-9a20-9e07b0ffafd8,Saks Fifth Avenue,,,,
e7c22c18-09a6-4dee-b28d-41215f163ba2,Best Buy,,,,
e97f7c74-dd41-4c85-98a7-8e7a2f37d9d0,Buffalo Wild Wings,,,,
f3519e00-8e91-44d4-ac2b-83bd89d7e182,Cracker Barrel,,,,
f3677d26-ebe2-4a7a-bcb3-a5ed3f2b551b,Delta Air Lines,,,,
fad11490-5c49-4fb8-bd94-a1ab9f751fd3,Chevron,,,,
